==== Test Report ====
Test: check_spatial_statistical_outliers_min_series
File: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Variable: pr
Dataset Name: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Parameters: {'threshold': 4.5, 'method': 'IQR'}
--- Messages ---
Outliers detected: 3212 points.
Outliers detected in minimum time series: 3212 points.

--- Results (coordinates, values) ---
iqr	(6, 22)	1.8541986836085333e-27,IQR:1.0819311093058758e-28
iqr	(6, 27)	2.867451766654442e-26,IQR:1.0819311093058758e-28
iqr	(6, 28)	2.314124852135398e-26,IQR:1.0819311093058758e-28
iqr	(6, 49)	3.4882689671774497e-25,IQR:1.0819311093058758e-28
iqr	(7, 49)	2.5698850361505187e-27,IQR:1.0819311093058758e-28
The rest of the coordinates are in the summary
--- Summary ---
Dataset: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Test: check_spatial_statistical_outliers
Variable: pr
Parameters: {'threshold': 4.5, 'method': 'IQR'}
Score: 0/1
Messages: ['Outliers detected: 3212 points.', 'Outliers detected in minimum time series: 3212 points.']
Coordinates and results:
Name	Index	Value	Score
iqr	(11, 82)	7.854104473115433e-20	IQR:1.0819311093058758e-28
iqr	(11, 83)	2.895132143935597e-24	IQR:1.0819311093058758e-28
iqr	(11, 84)	6.135118429794287e-22	IQR:1.0819311093058758e-28
iqr	(11, 85)	5.367257128088003e-22	IQR:1.0819311093058758e-28
iqr	(11, 88)	9.327959729495719e-26	IQR:1.0819311093058758e-28
iqr	(11, 89)	5.771707654051303e-20	IQR:1.0819311093058758e-28
iqr	(11, 90)	4.7778313668684087e-23	IQR:1.0819311093058758e-28
iqr	(11, 91)	1.2621890840519709e-24	IQR:1.0819311093058758e-28
iqr	(11, 93)	6.041569512783046e-20	IQR:1.0819311093058758e-28
iqr	(11, 94)	4.4996239491962955e-24	IQR:1.0819311093058758e-28
iqr	(11, 95)	1.3486079521377642e-22	IQR:1.0819311093058758e-28
iqr	(11, 97)	1.3006621071320052e-20	IQR:1.0819311093058758e-28
iqr	(11, 98)	1.1382436924971434e-23	IQR:1.0819311093058758e-28
iqr	(11, 99)	5.997265807022256e-23	IQR:1.0819311093058758e-28
iqr	(11, 100)	5.102385853555771e-18	IQR:1.0819311093058758e-28
iqr	(11, 101)	5.074504386841176e-19	IQR:1.0819311093058758e-28
iqr	(11, 102)	1.9378588008065658e-20	IQR:1.0819311093058758e-28
iqr	(11, 103)	2.2234653614273048e-23	IQR:1.0819311093058758e-28
iqr	(11, 104)	2.61366657295274e-24	IQR:1.0819311093058758e-28
iqr	(11, 105)	1.06439880623026e-20	IQR:1.0819311093058758e-28
iqr	(11, 106)	1.2456614949542906e-19	IQR:1.0819311093058758e-28
iqr	(11, 107)	9.825506707918988e-19	IQR:1.0819311093058758e-28
iqr	(11, 108)	6.325573366632981e-25	IQR:1.0819311093058758e-28
iqr	(11, 109)	1.9109515202090108e-20	IQR:1.0819311093058758e-28
iqr	(11, 110)	1.6543612251060553e-24	IQR:1.0819311093058758e-28
iqr	(11, 111)	5.8628926035785535e-21	IQR:1.0819311093058758e-28
iqr	(11, 124)	1.5640172257584584e-24	IQR:1.0819311093058758e-28
iqr	(11, 129)	1.3759990413984296e-27	IQR:1.0819311093058758e-28
iqr	(11, 133)	3.5947427652221945e-21	IQR:1.0819311093058758e-28
iqr	(11, 134)	6.0001253859498784e-18	IQR:1.0819311093058758e-28
iqr	(11, 136)	8.984389911502032e-21	IQR:1.0819311093058758e-28
iqr	(11, 137)	9.267359351768473e-20	IQR:1.0819311093058758e-28
iqr	(12, 68)	7.763788285374594e-22	IQR:1.0819311093058758e-28
iqr	(12, 69)	1.4535918699628747e-27	IQR:1.0819311093058758e-28
iqr	(12, 70)	3.193681226592906e-27	IQR:1.0819311093058758e-28
iqr	(12, 71)	1.2145823806361127e-18	IQR:1.0819311093058758e-28
iqr	(12, 72)	6.641465399555638e-14	IQR:1.0819311093058758e-28
iqr	(12, 73)	2.822999512979135e-18	IQR:1.0819311093058758e-28
iqr	(12, 74)	1.3911584753282148e-17	IQR:1.0819311093058758e-28
iqr	(12, 75)	1.1457178368822714e-18	IQR:1.0819311093058758e-28
iqr	(12, 76)	1.6849628688026826e-20	IQR:1.0819311093058758e-28
iqr	(12, 77)	1.747044099590213e-15	IQR:1.0819311093058758e-28
iqr	(12, 78)	3.8207123527003427e-19	IQR:1.0819311093058758e-28
iqr	(12, 79)	1.9808970002505033e-12	IQR:1.0819311093058758e-28
iqr	(12, 80)	1.477469478292203e-18	IQR:1.0819311093058758e-28
iqr	(12, 81)	2.772960152400929e-19	IQR:1.0819311093058758e-28
iqr	(12, 82)	1.4744681763361947e-25	IQR:1.0819311093058758e-28
iqr	(12, 83)	8.295019295060352e-18	IQR:1.0819311093058758e-28
iqr	(12, 84)	2.0129138104305665e-23	IQR:1.0819311093058758e-28
iqr	(12, 85)	5.831024905024451e-20	IQR:1.0819311093058758e-28
iqr	(12, 86)	6.4684473770009734e-21	IQR:1.0819311093058758e-28
iqr	(12, 87)	5.140745248593525e-22	IQR:1.0819311093058758e-28
